@RELATION data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {respiPat,gritos,tos}

@DATA
0.067850,0.006783,3.118680,0.161104,0.192284,0.555106,0.005381,0.086093,-26.156470,1.413967,-0.019629,0.362952,0.004095,0.168385,-0.023838,-0.021853,0.411437,-0.126120,0.069132,0.149847,-0.030555,0.010197,0.006052,0.063349,0.005900,0.018224,0.006189,0.091908,0.002026,0.007451,0.012163,0.027936,0.005363,0.037058,0.023650,0.006609,0.184569,0.017256,0.012603,0.243029,0.005333,0.043995,1.841370,0.449594,0.305902,0.321875,0.404074,0.274962,0.320293,0.244768,0.293839,0.239297,0.221375,0.234411,0.196642,0.010073,0.006663,0.048822,0.007112,0.019245,0.009066,0.064174,0.002762,0.011982,0.013649,0.023111,0.007122,0.018766,respiPat
0.090412,0.004020,3.049977,0.175256,0.197914,0.637270,0.017721,0.128906,-33.376016,1.540866,-0.262887,0.086380,-0.067215,0.551926,0.149178,-0.150348,0.081040,-0.300883,0.065012,0.127750,-0.027734,0.006738,0.003731,0.054187,0.005065,0.017095,0.011266,0.085110,0.004123,0.005422,0.010283,0.029255,0.003162,0.038459,0.044063,0.005476,0.197536,0.040148,0.024841,0.347360,0.025736,0.082979,2.801949,0.565642,0.503339,0.380697,0.368397,0.361454,0.300663,0.324198,0.287855,0.312629,0.281921,0.280958,0.245309,0.009146,0.006239,0.046367,0.007939,0.023175,0.018698,0.067843,0.006787,0.008574,0.014236,0.033402,0.003916,0.018858,respiPat
0.071267,0.006966,3.016745,0.119312,0.136728,0.536370,0.003921,0.102994,-27.657277,0.687705,-0.971043,0.213687,-0.352910,0.006435,0.295623,0.029039,-0.040452,-0.036285,-0.067741,0.174567,-0.032244,0.009514,0.007162,0.014381,0.007558,0.021816,0.011227,0.014904,0.007315,0.011983,0.007290,0.008206,0.005634,0.010244,0.016998,0.007645,0.356682,0.019232,0.022591,0.226810,0.004334,0.036348,2.310366,0.577261,0.282418,0.191439,0.205550,0.209575,0.181669,0.172725,0.168309,0.197013,0.158259,0.145535,0.145060,0.006446,0.004819,0.010049,0.004890,0.010351,0.009172,0.011768,0.006025,0.008041,0.004993,0.005710,0.004127,0.004055,respiPat
0.031375,0.112247,3.045009,0.099242,0.166196,0.112263,0.042098,0.032632,-27.832913,3.076131,-0.543676,-0.408237,-0.734949,-0.454333,-0.194520,0.143797,0.183783,0.110600,0.006672,-0.070209,-0.014158,0.036018,0.012513,0.015570,0.015895,0.018121,0.010962,0.022161,0.000456,0.015688,0.018725,0.032380,0.023917,0.037749,0.023234,0.095614,0.499854,0.041650,0.044717,0.172060,0.054387,0.031398,4.108570,0.768735,0.594001,0.409381,0.360014,0.294564,0.304611,0.349868,0.299080,0.307253,0.269873,0.266183,0.176943,0.047492,0.020040,0.023313,0.020155,0.026453,0.022403,0.032596,0.000644,0.029463,0.027981,0.041649,0.039864,0.016743,respiPat
0.061510,0.056101,3.132707,0.100404,0.120770,0.466972,0.004848,0.090958,-22.617489,-0.070768,-1.256051,0.099558,0.015595,-0.662056,0.117694,-0.261574,-0.221690,-0.217928,-0.128081,0.632801,0.057120,0.003687,0.006578,0.023011,0.010657,0.006419,0.012725,0.011032,0.008850,0.008042,0.002336,0.003680,0.006011,0.011628,0.013192,0.025856,0.357902,0.020333,0.033974,0.162604,0.001943,0.020637,2.490768,0.441877,0.332191,0.291544,0.193448,0.238034,0.214655,0.236862,0.274657,0.289986,0.200103,0.204801,0.203972,0.003020,0.005229,0.032199,0.016749,0.006331,0.011608,0.009050,0.009694,0.006483,0.001537,0.003401,0.007740,0.007958,gritos
0.054333,0.061987,3.251359,0.122430,0.140463,0.373344,0.040309,0.071132,-26.382224,-0.278962,-0.780376,0.633407,-0.309434,-0.049303,0.033991,0.155800,0.199156,0.066193,-0.226395,0.095546,-0.108992,0.005481,0.008165,0.003594,0.002046,0.045263,0.002050,0.007500,0.001587,0.005096,0.006563,0.002620,0.013350,0.020452,0.011595,0.026852,0.074564,0.012179,0.017057,0.188558,0.039259,0.019468,2.042787,0.347640,0.425736,0.266409,0.225048,0.167839,0.168111,0.151199,0.193658,0.185060,0.135953,0.179272,0.139190,0.007002,0.010773,0.004089,0.001925,0.010232,0.002217,0.021411,0.001594,0.008085,0.006396,0.003634,0.018585,0.009157,gritos
0.063203,0.062019,3.204857,0.122371,0.145075,0.460200,0.014269,0.085118,-23.560761,0.660667,-0.121699,0.830058,0.078758,-0.104450,0.363688,-0.425735,0.316652,0.263322,0.029830,0.157252,0.097292,0.005367,0.001425,0.008430,0.002154,0.014235,0.002824,0.017919,0.009724,0.008389,0.020872,0.011897,0.004967,0.011927,0.022488,0.036099,0.171038,0.034527,0.050343,0.277127,0.034794,0.044204,5.611589,0.832228,0.497084,0.245028,0.284530,0.397894,0.208906,0.305810,0.311745,0.402261,0.249150,0.193117,0.212222,0.003963,0.001457,0.006476,0.003193,0.035498,0.002973,0.019014,0.022347,0.008642,0.029970,0.014195,0.004781,0.011875,gritos
0.043739,0.049461,3.149555,0.112257,0.152117,0.268914,0.034424,0.055646,-25.242554,0.536998,-1.246080,0.075272,0.928764,-0.122957,0.208212,0.017845,-0.026728,-0.114065,0.160056,0.132707,-0.038607,0.019566,0.010371,0.009007,0.009488,0.007772,0.007264,0.014248,0.024399,0.002373,0.002689,0.009321,0.004910,0.021036,0.010552,0.026897,0.208808,0.017459,0.031265,0.142016,0.034821,0.023614,1.771719,0.495896,0.294136,0.492604,0.500945,0.345843,0.212504,0.370783,0.290034,0.242258,0.263627,0.204344,0.174847,0.028515,0.016387,0.012504,0.012873,0.017037,0.011205,0.005586,0.033302,0.002573,0.004024,0.017712,0.009338,0.017615,gritos
0.070296,0.176933,3.200751,0.101980,0.106680,0.195785,0.011758,0.085617,-22.710098,-1.361887,-0.857491,0.924819,-0.885949,0.028537,0.240726,0.436768,-0.054575,-0.442146,-0.089443,0.280821,-0.235559,0.002297,0.003836,0.008057,0.010051,0.002823,0.001549,0.003055,0.002051,0.002009,0.016905,0.031941,0.000767,0.015898,0.006078,0.047072,0.207637,0.015588,0.035365,0.066920,0.008923,0.007717,0.987555,0.426852,0.223935,0.151391,0.204835,0.153883,0.251762,0.250415,0.181677,0.266414,0.193648,0.223411,0.120125,0.002792,0.008614,0.007784,0.011314,0.004565,0.002787,0.005284,0.003240,0.002056,0.022303,0.043612,0.001087,0.014709,gritos
0.040591,0.012015,3.114802,0.122554,0.179083,0.270532,0.019888,0.054273,-30.110792,2.544119,-0.443558,-0.022409,-0.630819,-0.311456,-0.291642,-0.502306,-0.420492,0.238099,-0.073358,0.469580,0.126671,0.004556,0.002788,0.008115,0.010974,0.028805,0.028570,0.044344,0.006722,0.031689,0.019053,0.010262,0.004770,0.032030,0.030819,0.013261,0.305960,0.044575,0.036208,0.319195,0.022845,0.050932,3.598534,0.859959,0.455114,0.485786,0.342481,0.348875,0.361039,0.297315,0.315218,0.342042,0.347337,0.316100,0.252750,0.005717,0.004444,0.010442,0.017866,0.036061,0.034743,0.047348,0.010644,0.036387,0.026006,0.014419,0.007068,0.015595,gritos
